순번,발급사,BIN,전표인자명,개인/법인,브랜드,신용/체크,등록/수정일자,변경사항,비고
1,신한카드,200001,신한카드,개인,로컬,신용,,,
2,신한카드,200002,신한카드,개인,로컬,신용,,,
3,신한카드,200003,신한카드,개인,로컬,신용,,,
4,신한카드,200004,신한카드,개인,로컬,신용,,,
5,신한카드,200005,신한카드,개인,로컬,신용,,,
6,신한카드,200006,신한카드,개인,로컬,신용,,,
7,신한카드,200007,신한카드,개인,로컬,신용,,,
8,신한카드,200008,신한카드,개인,로컬,신용,,,
9,신한카드,200009,신한카드,개인,로컬,신용,,,
10,신한카드,200010,신한카드,개인,로컬,신용,,,
11,신한카드,200011,신한카드,개인,로컬,신용,,,
12,신한카드,200012,신한카드,개인,로컬,신용,,,
13,신한카드,200013,신한카드,개인,로컬,신용,,,
14,신한카드,200014,신한카드,개인,로컬,신용,,,
15,신한카드,200015,신한카드,개인,로컬,신용,,,
16,신한카드,200016,신한카드,개인,로컬,신용,,,
17,신한카드,200017,신한카드,개인,로컬,신용,,,
18,신한카드,200018,신한카드,개인,로컬,신용,,,
19,신한카드,200019,신한카드,개인,로컬,신용,,,
20,신한카드,200020,신한카드,개인,로컬,신용,,,
21,신한카드,200021,신한카드,개인,로컬,신용,,,
22,신한카드,200022,신한카드,개인,로컬,신용,,,
23,신한카드,200023,신한카드,개인,로컬,신용,,,
24,신한카드,200024,신한카드,개인,로컬,신용,,,
25,신한카드,200025,신한카드,개인,로컬,신용,,,
26,신한카드,200026,신한카드,개인,로컬,신용,,,
27,신한카드,200027,신한카드,개인,로컬,신용,,,
28,신한카드,200028,신한카드,개인,로컬,신용,,,
29,신한카드,200029,신한카드,개인,로컬,신용,,,
30,신한카드,200030,신한카드,개인,로컬,신용,,,
31,신한카드,200031,신한카드,개인,로컬,신용,,,
32,신한카드,200032,신한카드,개인,로컬,신용,,,
33,신한카드,200033,신한카드,개인,로컬,신용,,,
34,신한카드,200034,신한카드,개인,로컬,신용,,,
35,신한카드,200035,신한카드,개인,로컬,신용,,,
36,신한카드,200036,신한카드,개인,로컬,신용,,,
37,신한카드,200037,신한카드,개인,로컬,신용,,,
38,신한카드,200038,신한카드,개인,로컬,신용,,,
39,신한카드,200039,신한카드,개인,로컬,신용,,,
40,신한카드,200040,신한카드,개인,로컬,신용,,,
41,신한카드,200041,신한카드,개인,로컬,신용,,,
42,신한카드,200042,신한카드,개인,로컬,신용,,,
43,신한카드,200043,신한카드,개인,로컬,신용,,,
44,신한카드,200044,신한카드,개인,로컬,신용,,,
45,신한카드,200045,신한카드,개인,로컬,신용,,,
46,신한카드,200046,신한카드,개인,로컬,신용,,,
47,신한카드,200047,신한카드,개인,로컬,신용,,,
48,신한카드,200048,신한카드,개인,로컬,신용,,,
49,신한카드,200049,신한카드,개인,로컬,신용,,,
50,신한카드,200050,신한카드,개인,로컬,신용,,,
51,신한카드,200051,신한카드,개인,로컬,신용,,,
52,신한카드,200052,신한카드,개인,로컬,신용,,,
53,신한카드,200053,신한카드,개인,로컬,신용,,,
54,신한카드,200054,신한카드,개인,로컬,신용,,,
55,신한카드,200055,신한카드,개인,로컬,신용,,,
56,신한카드,200056,신한카드,개인,로컬,신용,,,
57,신한카드,200057,신한카드,개인,로컬,신용,,,
58,신한카드,200058,신한카드,개인,로컬,신용,,,
59,신한카드,200059,신한카드,개인,로컬,신용,,,
60,신한카드,200060,신한카드,개인,로컬,신용,,,
61,신한카드,200061,신한카드,개인,로컬,신용,,,
62,신한카드,200062,신한카드,개인,로컬,신용,,,
63,신한카드,200063,신한카드,개인,로컬,신용,,,
64,신한카드,200064,신한카드,개인,로컬,신용,,,
65,신한카드,200065,신한카드,개인,로컬,신용,,,
66,신한카드,200066,신한카드,개인,로컬,신용,,,
67,신한카드,200067,신한카드,개인,로컬,신용,,,
68,신한카드,200068,신한카드,개인,로컬,신용,,,
69,신한카드,200069,신한카드,개인,로컬,신용,,,
70,신한카드,200070,신한카드,개인,로컬,신용,,,
71,신한카드,200071,신한카드,개인,로컬,신용,,,
72,신한카드,200072,신한카드,개인,로컬,신용,,,
73,신한카드,200073,신한카드,개인,로컬,신용,,,
74,신한카드,200074,신한카드,개인,로컬,신용,,,
75,신한카드,200075,신한카드,개인,로컬,신용,,,
76,신한카드,200076,신한카드,개인,로컬,신용,,,
77,신한카드,200077,신한카드,개인,로컬,신용,,,
78,신한카드,200078,신한카드,개인,로컬,신용,,,
79,신한카드,200079,신한카드,개인,로컬,신용,,,
80,신한카드,200080,신한카드,개인,로컬,신용,,,
81,신한카드,200081,신한카드,개인,로컬,신용,,,
82,신한카드,200082,신한카드,개인,로컬,신용,,,
83,신한카드,200083,신한카드,개인,로컬,신용,,,
84,신한카드,200084,신한카드,개인,로컬,신용,,,
85,신한카드,200085,신한카드,개인,로컬,신용,,,
86,신한카드,200086,신한카드,개인,로컬,신용,,,
87,신한카드,200087,신한카드,개인,로컬,신용,,,
88,신한카드,200088,신한카드,개인,로컬,신용,,,
89,신한카드,200089,신한카드,개인,로컬,신용,,,
90,신한카드,200090,신한카드,개인,로컬,신용,,,
91,신한카드,200091,신한카드,개인,로컬,신용,,,
92,신한카드,200092,신한카드,개인,로컬,신용,,,
93,신한카드,200093,신한카드,개인,로컬,신용,,,
94,신한카드,200094,신한카드,개인,로컬,신용,,,
95,신한카드,200095,신한카드,개인,로컬,신용,,,
96,신한카드,200096,신한카드,개인,로컬,신용,,,
97,신한카드,200097,신한카드,개인,로컬,신용,,,
98,신한카드,200098,신한카드,개인,로컬,신용,,,
99,신한카드,200099,신한카드,개인,로컬,신용,,,
100,신한카드,205001,신한카드,개인,로컬,신용,,,
101,신한카드,205002,신한카드,개인,로컬,신용,,,
102,신한카드,205003,신한카드,개인,로컬,신용,,,
103,신한카드,205004,신한카드,개인,로컬,신용,,,
104,신한카드,205005,신한카드,개인,로컬,신용,,,
105,신한카드,205006,신한카드,개인,로컬,신용,,,
106,신한카드,205007,신한카드,개인,로컬,신용,,,
107,신한카드,205008,신한카드,개인,로컬,신용,,,
108,신한카드,205009,신한카드,개인,로컬,신용,,,
109,신한카드,205010,신한카드,개인,로컬,신용,,,
110,신한카드,205011,신한카드,개인,로컬,신용,,,
111,신한카드,205012,신한카드,개인,로컬,신용,,,
112,신한카드,205013,신한카드,개인,로컬,신용,,,
113,신한카드,205014,신한카드,개인,로컬,신용,,,
114,신한카드,205015,신한카드,개인,로컬,신용,,,
115,신한카드,205016,신한카드,개인,로컬,신용,,,
116,신한카드,205017,신한카드,개인,로컬,신용,,,
117,신한카드,205018,신한카드,개인,로컬,신용,,,
118,신한카드,205019,신한카드,개인,로컬,신용,,,
119,신한카드,205020,신한카드,개인,로컬,신용,,,
120,신한카드,205021,신한카드,개인,로컬,신용,,,
121,신한카드,205022,신한카드,개인,로컬,신용,,,
122,신한카드,205023,신한카드,개인,로컬,신용,,,
123,신한카드,205024,신한카드,개인,로컬,신용,,,
124,신한카드,205025,신한카드,개인,로컬,신용,,,
125,신한카드,205026,신한카드,개인,로컬,신용,,,
126,신한카드,205027,신한카드,개인,로컬,신용,,,
127,신한카드,205028,신한카드,개인,로컬,신용,,,
128,신한카드,205029,신한카드,개인,로컬,신용,,,
129,신한카드,205030,신한카드,개인,로컬,신용,,,
130,신한카드,205031,신한카드,개인,로컬,신용,,,
131,신한카드,205032,신한카드,개인,로컬,신용,,,
132,신한카드,205033,신한카드,개인,로컬,신용,,,
133,신한카드,205034,신한카드,개인,로컬,신용,,,
134,신한카드,205035,신한카드,개인,로컬,신용,,,
135,신한카드,205036,신한카드,개인,로컬,신용,,,
